title,author,rating,description,language,genres,pages,publisher,publishDate,numRatings,ratingsByStars,likedPercent,coverImg
Treasure Island,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)",3.83,"""For sheer storytelling delight and pure adventure, Treasure Island has never been surpassed. From the moment young Jim Hawkins first encounters the sinister Blind Pew at the Admiral Benbow Inn until the climactic battle for treasure on a tropic isle, the novel creates scenes and characters that have fired the imaginations of generations of readers. Written by a superb prose stylist, a master of both action and atmosphere, the story centers upon the conflict between good and evil - but in this case a particularly engaging form of evil. It is the villainy of that most ambiguous rogue Long John Silver that sets the tempo of this tale of treachery, greed, and daring. Designed to forever kindle a dream of high romance and distant horizons, Treasure Island is, in the words of G. K. Chesterton, 'the realization of an ideal, that which is promised in its provocative and beckoning map; a vision not only of white skeletons but also green palm trees and sapphire seas.' G. S. Fraser terms it 'an utterly original book' and goes on to write: 'There will always be a place for stories like Treasure Island that can keep boys and old men happy.'",English,"[""Classics"", ""Fiction"", ""Adventure"", ""Young Adult"", ""Historical Fiction"", ""Childrens"", ""Literature"", ""Pirates"", ""Fantasy"", ""Novels""]",311,Kingfisher,09/15/01,402027,"[""113094"", ""148264"", ""108685"", ""24407"", ""7577""]",92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485248909l/295.jpg
Fifty Shades of Grey,E.L. James (Goodreads Author),3.66,"When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Ana’s quiet beauty, wit, and independent spirit, Grey admits he wants her, too—but on his own terms. Shocked yet thrilled by Grey’s singular erotic tastes, Ana hesitates. For all the trappings of success—his multinational businesses, his vast wealth, his loving family—Grey is a man tormented by demons and consumed by the need to control. When the couple embarks on a daring, passionately physical affair, Ana discovers Christian Grey’s secrets and explores her own dark desires.Erotic, amusing, and deeply moving, the Fifty Shades Trilogy is a tale that will obsess you, possess you, and stay with you forever.This book is intended for mature audiences.",English,"[""Romance"", ""Fiction"", ""Erotica"", ""Adult"", ""BDSM"", ""Contemporary"", ""Chick Lit"", ""Contemporary Romance"", ""Erotic Romance"", ""Adult Fiction""]",356,Vintage,05/25/11,1946452,"[""773382"", ""395613"", ""344055"", ""204517"", ""228885""]",78,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843l/10818853.jpg
The Clan of the Cave Bear,Jean M. Auel,4.05,"This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auel's magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves the Clan of the Cave Bear. A natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the Clan, people very different from her own kind. To them, blond, blue-eyed Ayla looks peculiar and ugly--she is one of the Others, those who have moved into their ancient homeland; but Iza cannot leave the girl to die and takes her with them. Iza and Creb, the old Mog-ur, grow to love her, and as Ayla learns the ways of the Clan and Iza's way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge.",English,"[""Historical Fiction"", ""Fiction"", ""Fantasy"", ""Historical"", ""Classics"", ""Romance"", ""Adventure"", ""Prehistoric"", ""Adult"", ""Novels""]",516,Bantam,10/06/16,229099,"[""92624"", ""77249"", ""43035"", ""11563"", ""4628""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529681430l/40611463._SY475_.jpg
A Storm of Swords,George R.R. Martin,4.53,"An alternate cover for this isbn can be found here.Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken. Joffrey sits on the Iron Throne, the uneasy ruler of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall. Young Robb still rules the North from the fortress of Riverrun. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. And as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords...",English,"[""Fantasy"", ""Fiction"", ""Epic Fantasy"", ""Science Fiction Fantasy"", ""High Fantasy"", ""Adult"", ""Adventure"", ""Dragons"", ""Audiobook"", ""Epic""]",1177,Bantam,03/04/03,666114,"[""424628"", ""185746"", ""45991"", ""6772"", ""2977""]",99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571318786l/62291.jpg
The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill (Translator)",3.5,"The procession that crosses Chaucer's pages is as full of life and as richly textured as a medieval tapestry. The Knight, the Miller, the Friar, the Squire, the Prioress, the Wife of Bath, and others who make up the cast of characters -- including Chaucer himself -- are real people, with human emotions and weaknesses. When it is remembered that Chaucer wrote in English at a time when Latin was the standard literary language across western Europe, the magnitude of his achievement is even more remarkable. But Chaucer's genius needs no historical introduction; it bursts forth from every page of The Canterbury Tales.If we trust the General Prologue, Chaucer intended that each pilgrim should tell two tales on the way to Canterbury and two tales on the way back. He never finished his enormous project and even the completed tales were not finally revised. Scholars are uncertain about the order of the tales. As the printing press had yet to be invented when Chaucer wrote his works, The Canterbury Tales has been passed down in several handwritten manuscripts.",English,"[""Classics"", ""Fiction"", ""Poetry"", ""Literature"", ""School"", ""Medieval"", ""Short Stories"", ""Historical Fiction"", ""Classic Literature"", ""Read For School""]",521,Penguin Books/Penguin Classics,01/30/03,188606,"[""37516"", ""58287"", ""62106"", ""22655"", ""8042""]",84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1261208589l/2696.jpg
The World According to Garp,John Irving (Goodreads Author),4.09,"This is the life and times of T. S. Garp, the bastard son of Jenny Fields—a feminist leader ahead of her times. This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes—even of sexual assassinations. It is a novel rich with ""lunacy and sorrow""; yet the dark, violent events of the story do not undermine a comedy both ribald and robust. In more than thirty languages, in more than forty countries—with more than ten million copies in print—this novel provides almost cheerful, even hilarious evidence of its famous last line: ""In the world according to Garp, we are all terminal cases.""",English,"[""Fiction"", ""Classics"", ""Contemporary"", ""Literature"", ""Novels"", ""Literary Fiction"", ""Humor"", ""American"", ""Adult Fiction"", ""Drama""]",610,Ballantine Books,04/01/99,204622,"[""80334"", ""77232"", ""35106"", ""8559"", ""3391""]",94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447234581l/7069._SY475_.jpg
A Farewell to Arms,Ernest Hemingway,3.81,"A Farewell to Arms is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield - the weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical work captures the harsh realities of war and the pain of lovers caught in its inexorable sweep. Ernest Hemingway famously said that he rewrote his ending to A Farewell to Arms thirty-nine times to get the words right.",English,"[""Classics"", ""Fiction"", ""Historical Fiction"", ""War"", ""Literature"", ""Novels"", ""American"", ""Romance"", ""Classic Literature"", ""School""]",293,Arrow Books,10/28/04,263216,"[""75343"", ""97143"", ""63124"", ""19985"", ""7621""]",90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313714836l/10799.jpg
David Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)",4,"David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful novelist. Among the gloriously vivid cast of characters he encounters are his tyrannical stepfather, Mr Murdstone; his brilliant, but ultimately unworthy school-friend James Steerforth; his formidable aunt, Betsey Trotwood; the eternally humble, yet treacherous Uriah Heep; frivolous, enchanting Dora Spenlow; and the magnificently impecunious Wilkins Micawber, one of literature's great comic creations. In David Copperfield - the novel he described as his 'favourite child' - Dickens drew revealingly on his own experiences to create one of the most exuberant and enduringly popular works, filled with tragedy and comedy in equal measure. This edition uses the text of the first volume publication of 1850, and includes updated suggestions for further reading, original illustrations by 'Phiz', a revised chronology and expanded notes. In his new introduction, Jeremy Tambling discusses the novel's autobiographical elements, and its central themes of memory and identity.",English,"[""Classics"", ""Fiction"", ""Literature"", ""Historical Fiction"", ""Novels"", ""19th Century"", ""British Literature"", ""Classic Literature"", ""Victorian"", ""Audiobook""]",882,Penguin,10/28/04,199074,"[""74002"", ""68845"", ""41480"", ""10786"", ""3961""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461452762l/58696._SY475_.jpg
Tote Mädchen lügen nicht,"Jay Asher (Goodreads Author), Knut Krüger (Übersetzer)",3.92,"You can’t stop the future. You can’t rewind the past.The only way to learn the secret . . . is to press play.Clay Jensen returns home from school to find a strange package with his name on it lying on his porch. Inside he discovers several cassette tapes recorded by Hannah Baker–his classmate and crush–who committed suicide two weeks earlier. Hannah’s voice tells him that there are thirteen reasons why she decided to end her life. Clay is one of them. If he listens, he’ll find out why. Clay spends the night crisscrossing his town with Hannah as his guide. He becomes a firsthand witness to Hannah’s pain, and as he follows Hannah’s recorded words throughout his town, what he discovers changes his life forever.",German,"[""Young Adult"", ""Contemporary"", ""Fiction"", ""Realistic Fiction"", ""Mystery"", ""Mental Health"", ""Teen"", ""Audiobook"", ""Romance"", ""High School""]",288,cbt,03/16/09,772610,"[""293442"", ""239282"", ""153708"", ""57123"", ""29055""]",89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327917740l/6350972.jpg
Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith (Illustrator)",3.54,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West, who wasn't so wicked after all. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination and allegory, Gregory Maguire just might change the reputation of one of the most sinister characters in literature.",English,"[""Fantasy"", ""Fiction"", ""Adult"", ""Science Fiction Fantasy"", ""Retellings"", ""Adult Fiction"", ""Magic"", ""Witches"", ""Fairy Tales"", ""Classics""]",406,William Morrow Paperbacks,10/28/00,573497,"[""147981"", ""168422"", ""143086"", ""70499"", ""43509""]",80,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437733293l/37442._SY475_.jpg
Shōgun,James Clavell,4.39,"Alternate Cover for ISBN: 0440178002A bold English adventurer. An invincible Japanese warlord. A beautiful woman torn between two ways of life. All brought together in an extraordinary saga aflame with passion, conflict, ambition, and the struggle for power.Here is the world-famous novel of Japan that is the earliest book in James Clavell’s masterly Asian saga. Set in the year 1600, it tells the story of a bold English pilot whose ship was blown ashore in Japan, where he encountered two people who were to change his life: a warlord with his own quest for power, and a beautiful interpreter torn between two ways of life and two ways of love. The principal figures are John Blackthorne, whose dream it is to be the first Englishman to circumnavigate the globe, to wrest control of the trade between Japan and China from Portuguese, and to return home a man of wealth and position; Toranaga, the most powerful feudal lord in Japan, who strives and schemes to seize ultimate power by becoming Shogun—the Supreme Military Dictator—and to unite the warring samurai fiefdoms under his own masterly and farsighted leadership; and the Lady Mariko, a Catholic convert whose conflicting loyalties to the Church and her country are compounded when she falls in love with Blackthorne, the barbarian intruder. In dramatizing how a Westerner, the representative man of his time, comes to be altered by his exposure to an alien culture, Mr. Clavell provides a spellbinding depiction of a nation seething with violence and intrigue as it moves from the medieval world to the modern.",English,"[""Historical Fiction"", ""Fiction"", ""Japan"", ""Historical"", ""Classics"", ""Adventure"", ""Asia"", ""Literature"", ""Novels"", ""Japanese Literature""]",1152,Dell,02/19/09,146776,"[""82685"", ""43852"", ""16060"", ""3025"", ""1154""]",97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397228842l/402093.jpg
Extremely Loud & Incredibly Close,Jonathan Safran Foer (Goodreads Author),3.97,"Nine-year-old Oskar Schell is an inventor, amateur entomologist, Francophile, letter writer, pacifist, natural historian, percussionist, romantic, Great Explorer, jeweller, detective, vegan, and collector of butterflies. When his father is killed in the September 11th attacks on the World Trade Centre, Oskar sets out to solve the mystery of a key he discovers in his father's closet. It is a search which leads him into the lives of strangers, through the five boroughs of New York, into history, to the bombings of Dresden and Hiroshima, and on an inward journey which brings him ever closer to some kind of peace.",English,"[""Fiction"", ""Contemporary"", ""Historical Fiction"", ""Novels"", ""Adult Fiction"", ""Adult"", ""Literary Fiction"", ""Literature"", ""New York"", ""Young Adult""]",326,Mariner Books,04/04/06,380009,"[""142337"", ""130391"", ""72669"", ""24158"", ""10454""]",91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879967l/4588.jpg
Murder on the Orient Express,Agatha Christie,4.17,"Just after midnight, a snowdrift stops the Orient Express in its tracks. The luxurious train is surprisingly full for the time of the year, but by the morning it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.Isolated and with a killer in their midst, detective Hercule Poirot must identify the murderer—in case he or she decides to strike again.",English,"[""Mystery"", ""Classics"", ""Fiction"", ""Crime"", ""Mystery Thriller"", ""Audiobook"", ""Thriller"", ""Detective"", ""Adult"", ""British Literature""]",347,HarperCollins,06/04/07,381053,"[""153394"", ""154538"", ""61626"", ""9146"", ""2349""]",97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451l/853510._SY475_.jpg
His Dark Materials,Philip Pullman,4.25,"The Golden Compass, The Subtle Knife, and The Amber Spyglass are available together in one volume perfect for any fan or newcomer to this modern fantasy classic series.These thrilling adventures tell the story of Lyra and Will—two ordinary children on a perilous journey through shimmering haunted otherworlds. They will meet witches and armored bears, fallen angels and soul-eating specters. And in the end, the fate of both the living—and the dead—will rely on them.Phillip Pullman’s spellbinding His Dark Materials trilogy has captivated readers for over twenty years and won acclaim at every turn. It will have you questioning everything you know about your world and wondering what really lies just out of reach.",English,"[""Fantasy"", ""Young Adult"", ""Fiction"", ""Childrens"", ""Science Fiction Fantasy"", ""Science Fiction"", ""Adventure"", ""Classics"", ""Steampunk"", ""Magic""]",1088,Laurel Leaf Library,09/23/03,143625,"[""74761"", ""42286"", ""18018"", ""5392"", ""3168""]",94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442329494l/18116._SY475_.jpg
A Little Princess,"Frances Hodgson Burnett, Nancy Bond (Foreword)",4.2,"Sara Crewe, an exceptionally intelligent and imaginative student at Miss Minchin's Select Seminary for Young Ladies, is devastated when her adored, indulgent father dies. Now penniless and banished to a room in the attic, Sara is demeaned, abused, and forced to work as a servant. How this resourceful girl's fortunes change again is at the center of A Little Princess, one of the best-loved stories in all of children's literature. This unique and fully annotated edition appends excerpts from Frances Hodgson Burnett's original 1888 novella Sara Crewe and the stage play that preceded the novel, as well as an early story, ""Behind the White Brick,"" allowing readers to see how A Little Princess evolved. In his delightful introduction, U. C. Knoepflmacher considers the fairy-tale allusions and literary touchstones that place the book among the major works of Victorian literature, and shows it to be an exceptionally rich and resonant novel.",English,"[""Classics"", ""Fiction"", ""Childrens"", ""Young Adult"", ""Historical Fiction"", ""Middle Grade"", ""Historical"", ""Literature"", ""Juvenile"", ""Novels""]",242,Penguin Books,02/26/02,271682,"[""125920"", ""90315"", ""42716"", ""8420"", ""4311""]",95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868556l/3008.jpg
The Other Boleyn Girl,Philippa Gregory (Goodreads Author),4.07,"This is an alternate cover edition of ISBN 9780743227445Two sisters competing for the greatest prize: The love of a kingWhen Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of Henry VIII. Dazzled, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realises just how much she is a pawn in her family's ambitious plots as the king's interest begins to wane and she is forced to step aside for her best friend and rival: her sister, Anne. Then Mary knows that she must defy her family and her king and take fate into her own hands.A rich and compelling novel of love, sex, ambition, and intrigue, The Other Boleyn Girl introduces a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamourous court in Europe and survived by following her heart.",English,"[""Historical Fiction"", ""Fiction"", ""Historical"", ""Romance"", ""Adult"", ""British Literature"", ""Historical Romance"", ""Tudor Period"", ""Chick Lit"", ""Adult Fiction""]",661,Washington Square Press,05/21/03,455559,"[""170309"", ""174662"", ""86580"", ""18109"", ""5899""]",95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355932638l/37470.jpg
Schindler's List,Thomas Keneally,4.34,"In the shadow of Auschwitz, a flamboyant German industrialist grew into a living legend to the Jews of Cracow. He was a womaniser, a heavy drinker and a bon viveur, but to them he became a saviour. This is the extraordinary story of Oskar Schindler, who risked his life to protect Jews in Nazi-occupied Poland and who was transformed by the war into a man with a mission, a compassionate angel of mercy.",English,"[""History"", ""Nonfiction"", ""Classics"", ""Holocaust"", ""War"", ""Historical"", ""World War II"", ""Biography"", ""Literature"", ""Media Tie In""]",429,Sceptre,02/17/94,144236,"[""77715"", ""45463"", ""15893"", ""3204"", ""1961""]",96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348163457l/375013.jpg
The Boy in the Striped Pajamas,John Boyne,4.15,"If you start to read this book, you will go on a journey with a nine-year-old boy named Bruno. (Though this isn't a book for nine-year-olds.) And sooner or later you will arrive with Bruno at a fence.

Fences like this exist all over the world. We hope you never have to encounter one.",English,"[""Historical Fiction"", ""Fiction"", ""Young Adult"", ""Historical"", ""Holocaust"", ""War"", ""Classics"", ""World War II"", ""School"", ""Childrens""]",240,David Fickling Books,09/12/06,517922,"[""221261"", ""188588"", ""80678"", ""19396"", ""7999""]",95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366228171l/39999.jpg
Jurassic Park,Michael Crichton,4.04,"An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price. Until something goes wrong. . . . In Jurassic Park, Michael Crichton taps all his mesmerizing talent and scientific brilliance to create his most electrifying technothriller.",English,"[""Science Fiction"", ""Fiction"", ""Thriller"", ""Adventure"", ""Fantasy"", ""Horror"", ""Classics"", ""Science Fiction Fantasy"", ""Dinosaurs"", ""Suspense""]",466,Ballantine Books,05/14/12,802556,"[""309252"", ""283820"", ""155431"", ""37099"", ""16954""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529604411l/40604658._SY475_.jpg
Last Sacrifice,Richelle Mead (Goodreads Author),4.39,"They come first.My vision was growing dimmer, the blackness and ghosts closing in. I swore it was like I could hear Robert whispering in my ear: The world of the dead won't give you up a second time. Just before the light completely vanished, I saw Dimitri's face join Lissa's. I wanted to smile. I decided then that if the two people I loved most were safe, I could leave this world.The dead could finally have me.Rose Hathaway has always played by her own rules. She broke the law when she ran away from St. Vladimir's Academy with her best friend and last surviving Dragomir princess, Lissa. She broke the law when she fell in love with her gorgeous, off-limits instructor, Dimitri. And she dared to defy Queen Tatiana, leader of the Moroi world, risking her life and reputation to protect generations of dhampir guardians to come.Now the law has finally caught up with Rose - for a crime she didn't even commit. She's in prison for the highest offense imaginable: the assassination of a monarch. She'll need help from both Dimitri and Adrian to find the one living person who can stall her execution and force the Moroi elite to acknowledge a shocking new candidate for the royal throne: Vasilisa Dragomir.But the clock on Rose's life is running out. Rose knows in her heart the world of the dead wants her back...and this time she is truly out of second chances. The big question is, when your whole life is about saving others, who will save you?Join Rose, Dimitri, Adrian, and Lissa in Last Sacrifice, the epic, unforgettable finale to Richelle Mead's international #1 bestselling Vampire Academy series.",English,"[""Young Adult"", ""Vampires"", ""Fantasy"", ""Paranormal"", ""Romance"", ""Urban Fantasy"", ""Paranormal Romance"", ""Supernatural"", ""Fiction"", ""Magic""]",594,Razorbill,12/07/10,254915,"[""152433"", ""64589"", ""27052"", ""6894"", ""3947""]",96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319850978l/6527740._SY475_.jpg
The Night Circus,Erin Morgenstern (Goodreads Author),4.03,"The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. But behind the scenes, a fierce competition is underway—a duel between two young magicians, Celia and Marco, who have been trained since childhood expressly for this purpose by their mercurial instructors. Unbeknownst to them, this is a game in which only one can be left standing, and the circus is but the stage for a remarkable battle of imagination and will. Despite themselves, however, Celia and Marco tumble headfirst into love—a deep, magical love that makes the lights flicker and the room grow warm whenever they so much as brush hands. True love or not, the game must play out, and the fates of everyone involved, from the cast of extraordinary circus performers to the patrons, hang in the balance, suspended as precariously as the daring acrobats overhead. Written in rich, seductive prose, this spell-casting novel is a feast for the senses and the heart.",English,"[""Fantasy"", ""Fiction"", ""Romance"", ""Historical Fiction"", ""Magic"", ""Young Adult"", ""Magical Realism"", ""Adult"", ""Audiobook"", ""Historical""]",391,Doubleday,09/13/11,684622,"[""279456"", ""225222"", ""121042"", ""41965"", ""16937""]",91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618l/9361589.jpg
Fallen,Lauren Kate (Goodreads Author),3.73,"There’s something achingly familiar about Daniel Grigori.Mysterious and aloof, he captures Luce Price’s attention from the moment she sees him on her first day at the Sword & Cross boarding school in sultry Savannah, Georgia. He’s the one bright spot in a place where cell phones are forbidden, the other students are all screw-ups, and security cameras watch every move.Even though Daniel wants nothing to do with Luce—and goes out of his way to make that very clear—she can’t let it go. Drawn to him like a moth to a flame, she has to find out what Daniel is so desperate to keep secret… even if it kills her.",English,"[""Young Adult"", ""Fantasy"", ""Romance"", ""Paranormal"", ""Angels"", ""Paranormal Romance"", ""Fiction"", ""Supernatural"", ""Urban Fantasy"", ""Teen""]",452,Delacorte Press,12/08/09,494093,"[""170700"", ""128528"", ""114206"", ""51230"", ""29429""]",84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440619649l/6487308._SY475_.jpg
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith (Illustrator)",3.93,"A number-one New York Times bestseller when it was originally published, THE SILMARILLION is the core of J.R.R. Tolkien's imaginative writing, a work whose origins stretch back to a time long before THE HOBBIT.Tolkien considered THE SILMARILLION his most important work, and, though it was published last and posthumously, this great collection of tales and legends clearly sets the stage for all his other writing. The story of the creation of the world and of the the First Age, this is the ancient drama to which the characters in THE LORD OF THE RINGS look back and in whose events some of them, such as Elrond and Galadriel, took part. The three Silmarils were jewels created by Feanor, most gifted of the Elves. Within them was imprisoned the Light of the Two Trees of Valinor before the Trees themselves were destroyed by Morgoth, the first Dark Lord. Thereafter, the unsullied Light of Valinor lived on only in the Silmarils, but they were seized by Morgoth and set in his crown, which was guarded in the impenetrable fortress of Angband in the north of Middle-earth. THE SILMARILLION is the history of the rebellion of Feanor and his kindred against the gods, their exile from Valinor and return to Middle-earth, and their war, hopeless despite all their heroism, against the great Enemy.This second edition features a letter written by J.R.R. Tolkien describing his intentions for the book, which serves as a brilliant exposition of his conception of the earlier Ages of Middle-earth.",English,"[""Fantasy"", ""Fiction"", ""Classics"", ""High Fantasy"", ""Science Fiction Fantasy"", ""Epic Fantasy"", ""Mythology"", ""Literature"", ""Novels"", ""Adventure""]",386,Houghton Mifflin Company,11/15/04,219296,"[""84035"", ""65174"", ""46508"", ""17005"", ""6574""]",89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565193934l/7332.jpg
The Secret Magdalene,Ki Longfellow (Goodreads Author),4.07,"Raised like sisters, Mariamne and Salome are indulged with riches, position, and learning—a rare thing for females in Jerusalem. But Mariamne has a further gift: an illness has left her with visions; she has the power of prophecy. It is her prophesying that drives the two girls to flee to Egypt, where they study philosophy, mathematics, and astronomy in the Great Library of Alexandria.After seven years they return to a Judaea where many now believe John the Baptizer is the messiah. Salome too begins to believe, but Mariamne, now called Magdalene, is drawn to his cousin, Yeshu'a, a man touched by the divine in the same way she was during her days of illness. Together they speak of sharing their direct experience of God; but Yeshu'a unexpectedly gains a reputation as a healer, and as the ill and the troubled flock to him, he and Magdalene are forced to make a terrible decision.This radical retelling of the greatest story ever told brings Mary Magdalene to life—not as a prostitute or demon-possessed—but as an educated woman who was truly the ""apostle to the apostles.""From the Hardcover edition.",English,"[""Historical Fiction"", ""Fiction"", ""Religion"", ""Historical"", ""Spirituality"", ""Novels"", ""Contemporary"", ""Biblical Fiction"", ""Literature"", ""Biblical""]",448,Crown,03/27/07,4260,"[""2189"", ""960"", ""571"", ""297"", ""243""]",87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175446011l/514811._SY475_.jpg
Beloved,Toni Morrison,3.87,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.",English,"[""Fiction"", ""Classics"", ""Historical Fiction"", ""Magical Realism"", ""Literature"", ""African American"", ""Historical"", ""Novels"", ""School"", ""Literary Fiction""]",324,Vintage,06/08/04,325282,"[""114508"", ""105681"", ""66092"", ""24923"", ""14078""]",88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347984578l/6149.jpg
The Trial,"Franz Kafka, Max Brod (Afterword), Willa Muir (Translator), Edwin Muir (Translator)",3.96,"Written in 1914 but not published until 1925, a year after Kafka’s death, The Trial is the terrifying tale of Josef K., a respectable bank officer who is suddenly and inexplicably arrested and must defend himself against a charge about which he can get no information. Whether read as an existential tale, a parable, or a prophecy of the excesses of modern bureaucracy wedded to the madness of totalitarianism, The Trial has resonated with chilling truth for generations of readers.",English,"[""Classics"", ""Fiction"", ""Literature"", ""Philosophy"", ""German Literature"", ""Novels"", ""Dystopia"", ""20th Century"", ""Czech Literature"", ""Literary Fiction""]",255,Vintage,04/09/01,234506,"[""83400"", ""84635"", ""46117"", ""14156"", ""6198""]",91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399438l/17690.jpg
